x;y
0.00393701;1
0.00787402;1
0.011811;1
0.015748;1
0.019685;1
0.023622;1
0.0275591;1
0.0314961;1
0.0354331;1
0.0393701;1
0.0433071;1
0.0472441;1
0.0511811;1
0.0551181;1
0.0590551;1
0.0629921;1
0.0669291;1
0.0708661;1
0.0748031;1
0.0787402;1
0.0826772;1
0.0866142;1
0.0905512;1
0.0944882;1
0.0984252;1
0.102362;1
0.106299;1
0.110236;1
0.114173;1
0.11811;1
0.122047;1
0.125984;1
0.129921;1
0.133858;1
0.137795;1
0.141732;1
0.145669;1
0.149606;1
0.153543;1
0.15748;1
0.161417;1
0.165354;1
0.169291;1
0.173228;1
0.177165;1
0.181102;1
0.185039;1
0.188976;1
0.192913;1
0.19685;1
0.200787;1
0.204724;1
0.208661;1
0.212598;1
0.216535;1
0.220472;1
0.224409;1
0.228346;1
0.232283;1
0.23622;1
0.240157;1
0.244094;1
0.248031;1
0.251969;1
0.255906;1
0.259843;1
0.26378;1
0.267717;1
0.271654;1
0.275591;1
0.279528;1
0.283465;1
0.287402;1
0.291339;1
0.295276;1
0.299213;1
0.30315;1
0.307087;1
0.311024;1
0.314961;1
0.318898;1
0.322835;1
0.326772;1
0.330709;1
0.334646;1
0.338583;1
0.34252;1
0.346457;1
0.350394;1
0.354331;1
0.358268;1
0.362205;1
0.366142;1
0.370079;1
0.374016;1
0.377953;1
0.38189;1
0.385827;1
0.389764;1
0.393701;1
0.397638;1
0.401575;1
0.405512;1
0.409449;1
0.413386;1
0.417323;1
0.42126;1
0.425197;1
0.429134;1
0.433071;1
0.437008;1
0.440945;1
0.444882;1
0.448819;1
0.452756;1
0.456693;1
0.46063;1
0.464567;1
0.468504;1
0.472441;1
0.476378;1
0.480315;1
0.484252;1
0.488189;1
0.492126;1
0.496063;1
0.5;1
0.503937;1
0.507874;1
0.511811;1
0.515748;1
0.519685;1
0.523622;1
0.527559;1
0.531496;1
0.535433;1
0.53937;1
0.543307;1
0.547244;1
0.551181;1
0.555118;1
0.559055;1
0.562992;1
0.566929;1
0.570866;1
0.574803;1
0.57874;1
0.582677;1
0.586614;1
0.590551;1
0.594488;1
0.598425;1
0.602362;1
0.606299;1
0.610236;1
0.614173;1
0.61811;1
0.622047;1
0.625984;1
0.629921;1
0.633858;1
0.637795;1
0.641732;1
0.645669;1
0.649606;1
0.653543;1
0.65748;1
