x;y
0.00381679;1
0.00763359;1
0.0114504;1
0.0152672;1
0.019084;1
0.0229008;1
0.0267176;1
0.0305344;1
0.0343511;1
0.0381679;1
0.0419847;1
0.0458015;1
0.0496183;1
0.0534351;1
0.0572519;1
0.0610687;1
0.0648855;1
0.0687023;1
0.0725191;1
0.0763359;1
0.0801527;1
0.0839695;1
0.0877863;1
0.0916031;1
0.0954198;1
0.0992366;1
0.103053;1
0.10687;1
0.110687;1
0.114504;1
0.118321;1
0.122137;1
0.125954;1
0.129771;1
0.133588;1
0.137405;1
0.141221;1
0.145038;1
0.148855;1
0.152672;1
0.156489;1
0.160305;1
0.164122;1
0.167939;1
0.171756;1
0.175573;1
0.179389;1
0.183206;1
0.187023;1
0.19084;1
0.194656;1
0.198473;1
0.20229;1
0.206107;1
0.209924;1
0.21374;1
0.217557;1
0.221374;1
0.225191;1
0.229008;1
0.232824;1
0.236641;1
0.240458;1
0.244275;1
0.248092;1
0.251908;1
0.255725;1
0.259542;1
0.263359;1
0.267176;1
0.270992;1
0.274809;1
0.278626;1
0.282443;1
0.28626;1
0.290076;1
0.293893;1
0.29771;1
0.301527;1
0.305344;1
0.30916;1
0.312977;1
0.316794;1
0.320611;1
0.324427;1
0.328244;1
0.332061;1
0.335878;1
0.339695;1
0.343511;1
0.347328;1
0.351145;1
0.354962;1
0.358779;1
0.362595;1
0.366412;1
0.370229;1
0.374046;1
0.377863;1
0.381679;1
0.385496;1
0.389313;1
0.39313;1
0.396947;1
0.400763;1
0.40458;1
0.408397;1
0.412214;1
0.416031;1
0.419847;1
0.423664;1
0.427481;1
0.431298;1
0.435115;1
0.438931;1
0.442748;1
0.446565;1
0.450382;1
0.454198;1
0.458015;1
0.461832;1
0.465649;1
0.469466;1
0.473282;1
0.477099;1
0.480916;1
0.484733;1
0.48855;1
0.492366;1
0.496183;1
0.5;1
0.503817;1
0.507634;1
0.51145;1
0.515267;1
0.519084;1
0.522901;1
0.526718;1
0.530534;1
0.534351;1
0.538168;1
0.541985;1
0.545802;1
0.549618;1
0.553435;1
0.557252;1
